row_number,module_name,fecha,anio,mes_num,mes_nombre,periodo,registro_valido,estado_fila_norm,municipio,proyecto_codigo,proyecto_nombre,tipo_asistencia,linea_enfoque,es_nueva_asistencia,cuenta_indicador_asistencia,sectores,resultado_mes,observaciones
207,asistencias,,,,,NaT,False,,,,,,,False,False,,,
208,asistencias,,,,,NaT,False,,,,,,,False,False,,,
209,asistencias,,,,,NaT,False,,,,,,,False,False,,,
210,asistencias,,,,,NaT,False,,,,,,,False,False,,,
211,asistencias,,,,,NaT,False,,,,,,,False,False,,,
212,asistencias,,,,,NaT,False,,,,,,,False,False,,,
213,asistencias,,,,,NaT,False,,,,,,,False,False,,,
214,asistencias,,,,,NaT,False,,,,,,,False,False,,,
215,asistencias,,,,,NaT,False,,,,,,,False,False,,,
216,asistencias,,,,,NaT,False,,,,,,,False,False,,,
217,asistencias,,,,,NaT,False,,,,,,,False,False,,,
218,asistencias,,,,,NaT,False,,,,,,,False,False,,,
219,asistencias,,,,,NaT,False,,,,,,,False,False,,,
220,asistencias,,,,,NaT,False,,,,,,,False,False,,,
221,asistencias,,,,,NaT,False,,,,,,,False,False,,,
222,asistencias,,,,,NaT,False,,,,,,,False,False,,,
223,asistencias,,,,,NaT,False,,,,,,,False,False,,,
224,asistencias,,,,,NaT,False,,,,,,,False,False,,,
225,asistencias,,,,,NaT,False,,,,,,,False,False,,,
226,asistencias,,,,,NaT,False,,,,,,,False,False,,,
227,asistencias,,,,,NaT,False,,,,,,,False,False,,,
228,asistencias,,,,,NaT,False,,,,,,,False,False,,,
229,asistencias,,,,,NaT,False,,,,,,,False,False,,,
230,asistencias,,,,,NaT,False,,,,,,,False,False,,,
231,asistencias,,,,,NaT,False,,,,,,,False,False,,,
232,asistencias,,,,,NaT,False,,,,,,,False,False,,,
233,asistencias,,,,,NaT,False,,,,,,,False,False,,,
234,asistencias,,,,,NaT,False,,,,,,,False,False,,,
235,asistencias,,,,,NaT,False,,,,,,,False,False,,,
236,asistencias,,,,,NaT,False,,,,,,,False,False,,,
237,asistencias,,,,,NaT,False,,,,,,,False,False,,,
238,asistencias,,,,,NaT,False,,,,,,,False,False,,,
239,asistencias,,,,,NaT,False,,,,,,,False,False,,,
240,asistencias,,,,,NaT,False,,,,,,,False,False,,,
241,asistencias,,,,,NaT,False,,,,,,,False,False,,,
242,asistencias,,,,,NaT,False,,,,,,,False,False,,,
243,asistencias,,,,,NaT,False,,,,,,,False,False,,,
244,asistencias,,,,,NaT,False,,,,,,,False,False,,,
245,asistencias,,,,,NaT,False,,,,,,,False,False,,,
