row_number,module_name,fecha,anio,mes_num,mes_nombre,periodo,registro_valido,estado_fila_norm,row_alert_estado_incompleto,municipio,estado_pirdes,implementado_mes,participantes_totales,n_tecnicos,n_operarios,requiere_seguimiento,observaciones
260,pirdes,,,,,,False,,False,,,False,,,,,
261,pirdes,,,,,,False,,False,,,False,,,,,
262,pirdes,,,,,,False,,False,,,False,,,,,
263,pirdes,,,,,,False,,False,,,False,,,,,
264,pirdes,,,,,,False,,False,,,False,,,,,
265,pirdes,,,,,,False,,False,,,False,,,,,
266,pirdes,,,,,,False,,False,,,False,,,,,
267,pirdes,,,,,,False,,False,,,False,,,,,
268,pirdes,,,,,,False,,False,,,False,,,,,
269,pirdes,,,,,,False,,False,,,False,,,,,
270,pirdes,,,,,,False,,False,,,False,,,,,
271,pirdes,,,,,,False,,False,,,False,,,,,
272,pirdes,,,,,,False,,False,,,False,,,,,
273,pirdes,,,,,,False,,False,,,False,,,,,
274,pirdes,,,,,,False,,False,,,False,,,,,
275,pirdes,,,,,,False,,False,,,False,,,,,
276,pirdes,,,,,,False,,False,,,False,,,,,
277,pirdes,,,,,,False,,False,,,False,,,,,
278,pirdes,,,,,,False,,False,,,False,,,,,
279,pirdes,,,,,,False,,False,,,False,,,,,
280,pirdes,,,,,,False,,False,,,False,,,,,
281,pirdes,,,,,,False,,False,,,False,,,,,
282,pirdes,,,,,,False,,False,,,False,,,,,
283,pirdes,,,,,,False,,False,,,False,,,,,
284,pirdes,,,,,,False,,False,,,False,,,,,
285,pirdes,,,,,,False,,False,,,False,,,,,
286,pirdes,,,,,,False,,False,,,False,,,,,
287,pirdes,,,,,,False,,False,,,False,,,,,
288,pirdes,,,,,,False,,False,,,False,,,,,
289,pirdes,,,,,,False,,False,,,False,,,,,
290,pirdes,,,,,,False,,False,,,False,,,,,
291,pirdes,,,,,,False,,False,,,False,,,,,
292,pirdes,,,,,,False,,False,,,False,,,,,
293,pirdes,,,,,,False,,False,,,False,,,,,
294,pirdes,,,,,,False,,False,,,False,,,,,
295,pirdes,,,,,,False,,False,,,False,,,,,
296,pirdes,,,,,,False,,False,,,False,,,,,
297,pirdes,,,,,,False,,False,,,False,,,,,
298,pirdes,,,,,,False,,False,,,False,,,,,
299,pirdes,,,,,,False,,False,,,False,,,,,
300,pirdes,,,,,,False,,False,,,False,,,,,
301,pirdes,,,,,,False,,False,,,False,,,,,
302,pirdes,,,,,,False,,False,,,False,,,,,
303,pirdes,,,,,,False,,False,,,False,,,,,
304,pirdes,,,,,,False,,False,,,False,,,,,
305,pirdes,,,,,,False,,False,,,False,,,,,
306,pirdes,,,,,,False,,False,,,False,,,,,
307,pirdes,,,,,,False,,False,,,False,,,,,
308,pirdes,,,,,,False,,False,,,False,,,,,
309,pirdes,,,,,,False,,False,,,False,,,,,
310,pirdes,,,,,,False,,False,,,False,,,,,
311,pirdes,,,,,,False,,False,,,False,,,,,
312,pirdes,,,,,,False,,False,,,False,,,,,
313,pirdes,,,,,,False,,False,,,False,,,,,
314,pirdes,,,,,,False,,False,,,False,,,,,
315,pirdes,,,,,,False,,False,,,False,,,,,
316,pirdes,,,,,,False,,False,,,False,,,,,
317,pirdes,,,,,,False,,False,,,False,,,,,
318,pirdes,,,,,,False,,False,,,False,,,,,
319,pirdes,,,,,,False,,False,,,False,,,,,
320,pirdes,,,,,,False,,False,,,False,,,,,
321,pirdes,,,,,,False,,False,,,False,,,,,
322,pirdes,,,,,,False,,False,,,False,,,,,
323,pirdes,,,,,,False,,False,,,False,,,,,
324,pirdes,,,,,,False,,False,,,False,,,,,
325,pirdes,,,,,,False,,False,,,False,,,,,
326,pirdes,,,,,,False,,False,,,False,,,,,
327,pirdes,,,,,,False,,False,,,False,,,,,
328,pirdes,,,,,,False,,False,,,False,,,,,
329,pirdes,,,,,,False,,False,,,False,,,,,
330,pirdes,,,,,,False,,False,,,False,,,,,
331,pirdes,,,,,,False,,False,,,False,,,,,
332,pirdes,,,,,,False,,False,,,False,,,,,
333,pirdes,,,,,,False,,False,,,False,,,,,
334,pirdes,,,,,,False,,False,,,False,,,,,
335,pirdes,,,,,,False,,False,,,False,,,,,
336,pirdes,,,,,,False,,False,,,False,,,,,
337,pirdes,,,,,,False,,False,,,False,,,,,
338,pirdes,,,,,,False,,False,,,False,,,,,
339,pirdes,,,,,,False,,False,,,False,,,,,
340,pirdes,,,,,,False,,False,,,False,,,,,
341,pirdes,,,,,,False,,False,,,False,,,,,
342,pirdes,,,,,,False,,False,,,False,,,,,
343,pirdes,,,,,,False,,False,,,False,,,,,
344,pirdes,,,,,,False,,False,,,False,,,,,
345,pirdes,,,,,,False,,False,,,False,,,,,
346,pirdes,,,,,,False,,False,,,False,,,,,
347,pirdes,,,,,,False,,False,,,False,,,,,
348,pirdes,,,,,,False,,False,,,False,,,,,
349,pirdes,,,,,,False,,False,,,False,,,,,
