row_number,module_name,fecha,anio,mes_num,mes_nombre,periodo,registro_valido,estado_fila_norm,row_alert_estado_incompleto,tipo_reunion,tema_principal,instituciones_participantes,acuerdos_principales,is_codema,is_mesa_dep,is_mesa_municipal,municipios
105,reuniones,,,,,,False,,False,,,,,False,False,False,
106,reuniones,,,,,,False,,False,,,,,False,False,False,
107,reuniones,,,,,,False,,False,,,,,False,False,False,
108,reuniones,,,,,,False,,False,,,,,False,False,False,
109,reuniones,,,,,,False,,False,,,,,False,False,False,
110,reuniones,,,,,,False,,False,,,,,False,False,False,
111,reuniones,,,,,,False,,False,,,,,False,False,False,
112,reuniones,,,,,,False,,False,,,,,False,False,False,
113,reuniones,,,,,,False,,False,,,,,False,False,False,
114,reuniones,,,,,,False,,False,,,,,False,False,False,
115,reuniones,,,,,,False,,False,,,,,False,False,False,
116,reuniones,,,,,,False,,False,,,,,False,False,False,
117,reuniones,,,,,,False,,False,,,,,False,False,False,
118,reuniones,,,,,,False,,False,,,,,False,False,False,
119,reuniones,,,,,,False,,False,,,,,False,False,False,
120,reuniones,,,,,,False,,False,,,,,False,False,False,
121,reuniones,,,,,,False,,False,,,,,False,False,False,
122,reuniones,,,,,,False,,False,,,,,False,False,False,
123,reuniones,,,,,,False,,False,,,,,False,False,False,
124,reuniones,,,,,,False,,False,,,,,False,False,False,
125,reuniones,,,,,,False,,False,,,,,False,False,False,
126,reuniones,,,,,,False,,False,,,,,False,False,False,
127,reuniones,,,,,,False,,False,,,,,False,False,False,
128,reuniones,,,,,,False,,False,,,,,False,False,False,
129,reuniones,,,,,,False,,False,,,,,False,False,False,
130,reuniones,,,,,,False,,False,,,,,False,False,False,
131,reuniones,,,,,,False,,False,,,,,False,False,False,
132,reuniones,,,,,,False,,False,,,,,False,False,False,
133,reuniones,,,,,,False,,False,,,,,False,False,False,
134,reuniones,,,,,,False,,False,,,,,False,False,False,
135,reuniones,,,,,,False,,False,,,,,False,False,False,
136,reuniones,,,,,,False,,False,,,,,False,False,False,
137,reuniones,,,,,,False,,False,,,,,False,False,False,
138,reuniones,,,,,,False,,False,,,,,False,False,False,
139,reuniones,,,,,,False,,False,,,,,False,False,False,
140,reuniones,,,,,,False,,False,,,,,False,False,False,
141,reuniones,,,,,,False,,False,,,,,False,False,False,
142,reuniones,,,,,,False,,False,,,,,False,False,False,
143,reuniones,,,,,,False,,False,,,,,False,False,False,
144,reuniones,,,,,,False,,False,,,,,False,False,False,
145,reuniones,,,,,,False,,False,,,,,False,False,False,
146,reuniones,,,,,,False,,False,,,,,False,False,False,
147,reuniones,,,,,,False,,False,,,,,False,False,False,
148,reuniones,,,,,,False,,False,,,,,False,False,False,
149,reuniones,,,,,,False,,False,,,,,False,False,False,
150,reuniones,,,,,,False,,False,,,,,False,False,False,
151,reuniones,,,,,,False,,False,,,,,False,False,False,
152,reuniones,,,,,,False,,False,,,,,False,False,False,
153,reuniones,,,,,,False,,False,,,,,False,False,False,
154,reuniones,,,,,,False,,False,,,,,False,False,False,
155,reuniones,,,,,,False,,False,,,,,False,False,False,
156,reuniones,,,,,,False,,False,,,,,False,False,False,
157,reuniones,,,,,,False,,False,,,,,False,False,False,
158,reuniones,,,,,,False,,False,,,,,False,False,False,
159,reuniones,,,,,,False,,False,,,,,False,False,False,
160,reuniones,,,,,,False,,False,,,,,False,False,False,
161,reuniones,,,,,,False,,False,,,,,False,False,False,
