row_number,module_name,fecha,anio,mes_num,mes_nombre,periodo,registro_valido,estado_fila_norm,row_alert_estado_incompleto,municipio,tipo_estudio,estado_estudio,se_finalizo_mes,es_rs_comercial_mercados,cuenta_indicador_estudio,sectores,instituciones_apoyo,observaciones
60,estudios,,,,,,False,,False,,,,False,False,False,,,
61,estudios,,,,,,False,,False,,,,False,False,False,,,
62,estudios,,,,,,False,,False,,,,False,False,False,,,
63,estudios,,,,,,False,,False,,,,False,False,False,,,
64,estudios,,,,,,False,,False,,,,False,False,False,,,
65,estudios,,,,,,False,,False,,,,False,False,False,,,
66,estudios,,,,,,False,,False,,,,False,False,False,,,
67,estudios,,,,,,False,,False,,,,False,False,False,,,
68,estudios,,,,,,False,,False,,,,False,False,False,,,
69,estudios,,,,,,False,,False,,,,False,False,False,,,
70,estudios,,,,,,False,,False,,,,False,False,False,,,
71,estudios,,,,,,False,,False,,,,False,False,False,,,
72,estudios,,,,,,False,,False,,,,False,False,False,,,
73,estudios,,,,,,False,,False,,,,False,False,False,,,
74,estudios,,,,,,False,,False,,,,False,False,False,,,
75,estudios,,,,,,False,,False,,,,False,False,False,,,
76,estudios,,,,,,False,,False,,,,False,False,False,,,
77,estudios,,,,,,False,,False,,,,False,False,False,,,
78,estudios,,,,,,False,,False,,,,False,False,False,,,
79,estudios,,,,,,False,,False,,,,False,False,False,,,
80,estudios,,,,,,False,,False,,,,False,False,False,,,
81,estudios,,,,,,False,,False,,,,False,False,False,,,
82,estudios,,,,,,False,,False,,,,False,False,False,,,
83,estudios,,,,,,False,,False,,,,False,False,False,,,
84,estudios,,,,,,False,,False,,,,False,False,False,,,
85,estudios,,,,,,False,,False,,,,False,False,False,,,
86,estudios,,,,,,False,,False,,,,False,False,False,,,
87,estudios,,,,,,False,,False,,,,False,False,False,,,
88,estudios,,,,,,False,,False,,,,False,False,False,,,
89,estudios,,,,,,False,,False,,,,False,False,False,,,
90,estudios,,,,,,False,,False,,,,False,False,False,,,
91,estudios,,,,,,False,,False,,,,False,False,False,,,
92,estudios,,,,,,False,,False,,,,False,False,False,,,
93,estudios,,,,,,False,,False,,,,False,False,False,,,
94,estudios,,,,,,False,,False,,,,False,False,False,,,
95,estudios,,,,,,False,,False,,,,False,False,False,,,
96,estudios,,,,,,False,,False,,,,False,False,False,,,
97,estudios,,,,,,False,,False,,,,False,False,False,,,
98,estudios,,,,,,False,,False,,,,False,False,False,,,
99,estudios,,,,,,False,,False,,,,False,False,False,,,
100,estudios,,,,,,False,,False,,,,False,False,False,,,
101,estudios,,,,,,False,,False,,,,False,False,False,,,
102,estudios,,,,,,False,,False,,,,False,False,False,,,
103,estudios,,,,,,False,,False,,,,False,False,False,,,
104,estudios,,,,,,False,,False,,,,False,False,False,,,
105,estudios,,,,,,False,,False,,,,False,False,False,,,
106,estudios,,,,,,False,,False,,,,False,False,False,,,
107,estudios,,,,,,False,,False,,,,False,False,False,,,
108,estudios,,,,,,False,,False,,,,False,False,False,,,
109,estudios,,,,,,False,,False,,,,False,False,False,,,
110,estudios,,,,,,False,,False,,,,False,False,False,,,
111,estudios,,,,,,False,,False,,,,False,False,False,,,
112,estudios,,,,,,False,,False,,,,False,False,False,,,
113,estudios,,,,,,False,,False,,,,False,False,False,,,
114,estudios,,,,,,False,,False,,,,False,False,False,,,
115,estudios,,,,,,False,,False,,,,False,False,False,,,
116,estudios,,,,,,False,,False,,,,False,False,False,,,
117,estudios,,,,,,False,,False,,,,False,False,False,,,
118,estudios,,,,,,False,,False,,,,False,False,False,,,
119,estudios,,,,,,False,,False,,,,False,False,False,,,
120,estudios,,,,,,False,,False,,,,False,False,False,,,
121,estudios,,,,,,False,,False,,,,False,False,False,,,
122,estudios,,,,,,False,,False,,,,False,False,False,,,
123,estudios,,,,,,False,,False,,,,False,False,False,,,
124,estudios,,,,,,False,,False,,,,False,False,False,,,
125,estudios,,,,,,False,,False,,,,False,False,False,,,
126,estudios,,,,,,False,,False,,,,False,False,False,,,
127,estudios,,,,,,False,,False,,,,False,False,False,,,
128,estudios,,,,,,False,,False,,,,False,False,False,,,
129,estudios,,,,,,False,,False,,,,False,False,False,,,
130,estudios,,,,,,False,,False,,,,False,False,False,,,
131,estudios,,,,,,False,,False,,,,False,False,False,,,
132,estudios,,,,,,False,,False,,,,False,False,False,,,
133,estudios,,,,,,False,,False,,,,False,False,False,,,
134,estudios,,,,,,False,,False,,,,False,False,False,,,
135,estudios,,,,,,False,,False,,,,False,False,False,,,
136,estudios,,,,,,False,,False,,,,False,False,False,,,
137,estudios,,,,,,False,,False,,,,False,False,False,,,
138,estudios,,,,,,False,,False,,,,False,False,False,,,
139,estudios,,,,,,False,,False,,,,False,False,False,,,
140,estudios,,,,,,False,,False,,,,False,False,False,,,
141,estudios,,,,,,False,,False,,,,False,False,False,,,
142,estudios,,,,,,False,,False,,,,False,False,False,,,
143,estudios,,,,,,False,,False,,,,False,False,False,,,
144,estudios,,,,,,False,,False,,,,False,False,False,,,
145,estudios,,,,,,False,,False,,,,False,False,False,,,
146,estudios,,,,,,False,,False,,,,False,False,False,,,
147,estudios,,,,,,False,,False,,,,False,False,False,,,
148,estudios,,,,,,False,,False,,,,False,False,False,,,
149,estudios,,,,,,False,,False,,,,False,False,False,,,
150,estudios,,,,,,False,,False,,,,False,False,False,,,
151,estudios,,,,,,False,,False,,,,False,False,False,,,
152,estudios,,,,,,False,,False,,,,False,False,False,,,
153,estudios,,,,,,False,,False,,,,False,False,False,,,
154,estudios,,,,,,False,,False,,,,False,False,False,,,
155,estudios,,,,,,False,,False,,,,False,False,False,,,
156,estudios,,,,,,False,,False,,,,False,False,False,,,
157,estudios,,,,,,False,,False,,,,False,False,False,,,
158,estudios,,,,,,False,,False,,,,False,False,False,,,
159,estudios,,,,,,False,,False,,,,False,False,False,,,
160,estudios,,,,,,False,,False,,,,False,False,False,,,
161,estudios,,,,,,False,,False,,,,False,False,False,,,
162,estudios,,,,,,False,,False,,,,False,False,False,,,
163,estudios,,,,,,False,,False,,,,False,False,False,,,
164,estudios,,,,,,False,,False,,,,False,False,False,,,
165,estudios,,,,,,False,,False,,,,False,False,False,,,
166,estudios,,,,,,False,,False,,,,False,False,False,,,
167,estudios,,,,,,False,,False,,,,False,False,False,,,
168,estudios,,,,,,False,,False,,,,False,False,False,,,
169,estudios,,,,,,False,,False,,,,False,False,False,,,
170,estudios,,,,,,False,,False,,,,False,False,False,,,
171,estudios,,,,,,False,,False,,,,False,False,False,,,
172,estudios,,,,,,False,,False,,,,False,False,False,,,
173,estudios,,,,,,False,,False,,,,False,False,False,,,
174,estudios,,,,,,False,,False,,,,False,False,False,,,
175,estudios,,,,,,False,,False,,,,False,False,False,,,
176,estudios,,,,,,False,,False,,,,False,False,False,,,
177,estudios,,,,,,False,,False,,,,False,False,False,,,
178,estudios,,,,,,False,,False,,,,False,False,False,,,
179,estudios,,,,,,False,,False,,,,False,False,False,,,
180,estudios,,,,,,False,,False,,,,False,False,False,,,
181,estudios,,,,,,False,,False,,,,False,False,False,,,
182,estudios,,,,,,False,,False,,,,False,False,False,,,
183,estudios,,,,,,False,,False,,,,False,False,False,,,
184,estudios,,,,,,False,,False,,,,False,False,False,,,
185,estudios,,,,,,False,,False,,,,False,False,False,,,
186,estudios,,,,,,False,,False,,,,False,False,False,,,
187,estudios,,,,,,False,,False,,,,False,False,False,,,
188,estudios,,,,,,False,,False,,,,False,False,False,,,
189,estudios,,,,,,False,,False,,,,False,False,False,,,
190,estudios,,,,,,False,,False,,,,False,False,False,,,
191,estudios,,,,,,False,,False,,,,False,False,False,,,
192,estudios,,,,,,False,,False,,,,False,False,False,,,
193,estudios,,,,,,False,,False,,,,False,False,False,,,
194,estudios,,,,,,False,,False,,,,False,False,False,,,
195,estudios,,,,,,False,,False,,,,False,False,False,,,
196,estudios,,,,,,False,,False,,,,False,False,False,,,
197,estudios,,,,,,False,,False,,,,False,False,False,,,
198,estudios,,,,,,False,,False,,,,False,False,False,,,
199,estudios,,,,,,False,,False,,,,False,False,False,,,
200,estudios,,,,,,False,,False,,,,False,False,False,,,
201,estudios,,,,,,False,,False,,,,False,False,False,,,
202,estudios,,,,,,False,,False,,,,False,False,False,,,
203,estudios,,,,,,False,,False,,,,False,False,False,,,
204,estudios,,,,,,False,,False,,,,False,False,False,,,
205,estudios,,,,,,False,,False,,,,False,False,False,,,
206,estudios,,,,,,False,,False,,,,False,False,False,,,
207,estudios,,,,,,False,,False,,,,False,False,False,,,
208,estudios,,,,,,False,,False,,,,False,False,False,,,
209,estudios,,,,,,False,,False,,,,False,False,False,,,
210,estudios,,,,,,False,,False,,,,False,False,False,,,
211,estudios,,,,,,False,,False,,,,False,False,False,,,
212,estudios,,,,,,False,,False,,,,False,False,False,,,
213,estudios,,,,,,False,,False,,,,False,False,False,,,
214,estudios,,,,,,False,,False,,,,False,False,False,,,
215,estudios,,,,,,False,,False,,,,False,False,False,,,
216,estudios,,,,,,False,,False,,,,False,False,False,,,
217,estudios,,,,,,False,,False,,,,False,False,False,,,
218,estudios,,,,,,False,,False,,,,False,False,False,,,
219,estudios,,,,,,False,,False,,,,False,False,False,,,
220,estudios,,,,,,False,,False,,,,False,False,False,,,
221,estudios,,,,,,False,,False,,,,False,False,False,,,
222,estudios,,,,,,False,,False,,,,False,False,False,,,
223,estudios,,,,,,False,,False,,,,False,False,False,,,
224,estudios,,,,,,False,,False,,,,False,False,False,,,
225,estudios,,,,,,False,,False,,,,False,False,False,,,
226,estudios,,,,,,False,,False,,,,False,False,False,,,
227,estudios,,,,,,False,,False,,,,False,False,False,,,
228,estudios,,,,,,False,,False,,,,False,False,False,,,
229,estudios,,,,,,False,,False,,,,False,False,False,,,
230,estudios,,,,,,False,,False,,,,False,False,False,,,
231,estudios,,,,,,False,,False,,,,False,False,False,,,
232,estudios,,,,,,False,,False,,,,False,False,False,,,
233,estudios,,,,,,False,,False,,,,False,False,False,,,
234,estudios,,,,,,False,,False,,,,False,False,False,,,
235,estudios,,,,,,False,,False,,,,False,False,False,,,
236,estudios,,,,,,False,,False,,,,False,False,False,,,
237,estudios,,,,,,False,,False,,,,False,False,False,,,
238,estudios,,,,,,False,,False,,,,False,False,False,,,
239,estudios,,,,,,False,,False,,,,False,False,False,,,
240,estudios,,,,,,False,,False,,,,False,False,False,,,
241,estudios,,,,,,False,,False,,,,False,False,False,,,
242,estudios,,,,,,False,,False,,,,False,False,False,,,
243,estudios,,,,,,False,,False,,,,False,False,False,,,
244,estudios,,,,,,False,,False,,,,False,False,False,,,
245,estudios,,,,,,False,,False,,,,False,False,False,,,
246,estudios,,,,,,False,,False,,,,False,False,False,,,
247,estudios,,,,,,False,,False,,,,False,False,False,,,
248,estudios,,,,,,False,,False,,,,False,False,False,,,
249,estudios,,,,,,False,,False,,,,False,False,False,,,
250,estudios,,,,,,False,,False,,,,False,False,False,,,
251,estudios,,,,,,False,,False,,,,False,False,False,,,
252,estudios,,,,,,False,,False,,,,False,False,False,,,
253,estudios,,,,,,False,,False,,,,False,False,False,,,
254,estudios,,,,,,False,,False,,,,False,False,False,,,
255,estudios,,,,,,False,,False,,,,False,False,False,,,
256,estudios,,,,,,False,,False,,,,False,False,False,,,
257,estudios,,,,,,False,,False,,,,False,False,False,,,
258,estudios,,,,,,False,,False,,,,False,False,False,,,
259,estudios,,,,,,False,,False,,,,False,False,False,,,
260,estudios,,,,,,False,,False,,,,False,False,False,,,
261,estudios,,,,,,False,,False,,,,False,False,False,,,
262,estudios,,,,,,False,,False,,,,False,False,False,,,
263,estudios,,,,,,False,,False,,,,False,False,False,,,
264,estudios,,,,,,False,,False,,,,False,False,False,,,
265,estudios,,,,,,False,,False,,,,False,False,False,,,
266,estudios,,,,,,False,,False,,,,False,False,False,,,
267,estudios,,,,,,False,,False,,,,False,False,False,,,
268,estudios,,,,,,False,,False,,,,False,False,False,,,
269,estudios,,,,,,False,,False,,,,False,False,False,,,
270,estudios,,,,,,False,,False,,,,False,False,False,,,
271,estudios,,,,,,False,,False,,,,False,False,False,,,
272,estudios,,,,,,False,,False,,,,False,False,False,,,
273,estudios,,,,,,False,,False,,,,False,False,False,,,
274,estudios,,,,,,False,,False,,,,False,False,False,,,
275,estudios,,,,,,False,,False,,,,False,False,False,,,
276,estudios,,,,,,False,,False,,,,False,False,False,,,
277,estudios,,,,,,False,,False,,,,False,False,False,,,
278,estudios,,,,,,False,,False,,,,False,False,False,,,
279,estudios,,,,,,False,,False,,,,False,False,False,,,
280,estudios,,,,,,False,,False,,,,False,False,False,,,
281,estudios,,,,,,False,,False,,,,False,False,False,,,
282,estudios,,,,,,False,,False,,,,False,False,False,,,
283,estudios,,,,,,False,,False,,,,False,False,False,,,
284,estudios,,,,,,False,,False,,,,False,False,False,,,
285,estudios,,,,,,False,,False,,,,False,False,False,,,
286,estudios,,,,,,False,,False,,,,False,False,False,,,
287,estudios,,,,,,False,,False,,,,False,False,False,,,
288,estudios,,,,,,False,,False,,,,False,False,False,,,
289,estudios,,,,,,False,,False,,,,False,False,False,,,
290,estudios,,,,,,False,,False,,,,False,False,False,,,
291,estudios,,,,,,False,,False,,,,False,False,False,,,
292,estudios,,,,,,False,,False,,,,False,False,False,,,
293,estudios,,,,,,False,,False,,,,False,False,False,,,
294,estudios,,,,,,False,,False,,,,False,False,False,,,
295,estudios,,,,,,False,,False,,,,False,False,False,,,
296,estudios,,,,,,False,,False,,,,False,False,False,,,
297,estudios,,,,,,False,,False,,,,False,False,False,,,
298,estudios,,,,,,False,,False,,,,False,False,False,,,
299,estudios,,,,,,False,,False,,,,False,False,False,,,
300,estudios,,,,,,False,,False,,,,False,False,False,,,
301,estudios,,,,,,False,,False,,,,False,False,False,,,
302,estudios,,,,,,False,,False,,,,False,False,False,,,
303,estudios,,,,,,False,,False,,,,False,False,False,,,
304,estudios,,,,,,False,,False,,,,False,False,False,,,
305,estudios,,,,,,False,,False,,,,False,False,False,,,
306,estudios,,,,,,False,,False,,,,False,False,False,,,
307,estudios,,,,,,False,,False,,,,False,False,False,,,
308,estudios,,,,,,False,,False,,,,False,False,False,,,
309,estudios,,,,,,False,,False,,,,False,False,False,,,
310,estudios,,,,,,False,,False,,,,False,False,False,,,
311,estudios,,,,,,False,,False,,,,False,False,False,,,
312,estudios,,,,,,False,,False,,,,False,False,False,,,
313,estudios,,,,,,False,,False,,,,False,False,False,,,
314,estudios,,,,,,False,,False,,,,False,False,False,,,
315,estudios,,,,,,False,,False,,,,False,False,False,,,
316,estudios,,,,,,False,,False,,,,False,False,False,,,
317,estudios,,,,,,False,,False,,,,False,False,False,,,
318,estudios,,,,,,False,,False,,,,False,False,False,,,
319,estudios,,,,,,False,,False,,,,False,False,False,,,
320,estudios,,,,,,False,,False,,,,False,False,False,,,
321,estudios,,,,,,False,,False,,,,False,False,False,,,
322,estudios,,,,,,False,,False,,,,False,False,False,,,
323,estudios,,,,,,False,,False,,,,False,False,False,,,
324,estudios,,,,,,False,,False,,,,False,False,False,,,
325,estudios,,,,,,False,,False,,,,False,False,False,,,
326,estudios,,,,,,False,,False,,,,False,False,False,,,
327,estudios,,,,,,False,,False,,,,False,False,False,,,
328,estudios,,,,,,False,,False,,,,False,False,False,,,
329,estudios,,,,,,False,,False,,,,False,False,False,,,
330,estudios,,,,,,False,,False,,,,False,False,False,,,
331,estudios,,,,,,False,,False,,,,False,False,False,,,
332,estudios,,,,,,False,,False,,,,False,False,False,,,
333,estudios,,,,,,False,,False,,,,False,False,False,,,
334,estudios,,,,,,False,,False,,,,False,False,False,,,
335,estudios,,,,,,False,,False,,,,False,False,False,,,
336,estudios,,,,,,False,,False,,,,False,False,False,,,
337,estudios,,,,,,False,,False,,,,False,False,False,,,
338,estudios,,,,,,False,,False,,,,False,False,False,,,
339,estudios,,,,,,False,,False,,,,False,False,False,,,
340,estudios,,,,,,False,,False,,,,False,False,False,,,
341,estudios,,,,,,False,,False,,,,False,False,False,,,
342,estudios,,,,,,False,,False,,,,False,False,False,,,
343,estudios,,,,,,False,,False,,,,False,False,False,,,
344,estudios,,,,,,False,,False,,,,False,False,False,,,
345,estudios,,,,,,False,,False,,,,False,False,False,,,
346,estudios,,,,,,False,,False,,,,False,False,False,,,
347,estudios,,,,,,False,,False,,,,False,False,False,,,
348,estudios,,,,,,False,,False,,,,False,False,False,,,
349,estudios,,,,,,False,,False,,,,False,False,False,,,
350,estudios,,,,,,False,,False,,,,False,False,False,,,
351,estudios,,,,,,False,,False,,,,False,False,False,,,
352,estudios,,,,,,False,,False,,,,False,False,False,,,
353,estudios,,,,,,False,,False,,,,False,False,False,,,
354,estudios,,,,,,False,,False,,,,False,False,False,,,
355,estudios,,,,,,False,,False,,,,False,False,False,,,
356,estudios,,,,,,False,,False,,,,False,False,False,,,
357,estudios,,,,,,False,,False,,,,False,False,False,,,
358,estudios,,,,,,False,,False,,,,False,False,False,,,
359,estudios,,,,,,False,,False,,,,False,False,False,,,
360,estudios,,,,,,False,,False,,,,False,False,False,,,
361,estudios,,,,,,False,,False,,,,False,False,False,,,
362,estudios,,,,,,False,,False,,,,False,False,False,,,
363,estudios,,,,,,False,,False,,,,False,False,False,,,
364,estudios,,,,,,False,,False,,,,False,False,False,,,
365,estudios,,,,,,False,,False,,,,False,False,False,,,
366,estudios,,,,,,False,,False,,,,False,False,False,,,
367,estudios,,,,,,False,,False,,,,False,False,False,,,
368,estudios,,,,,,False,,False,,,,False,False,False,,,
369,estudios,,,,,,False,,False,,,,False,False,False,,,
370,estudios,,,,,,False,,False,,,,False,False,False,,,
371,estudios,,,,,,False,,False,,,,False,False,False,,,
372,estudios,,,,,,False,,False,,,,False,False,False,,,
373,estudios,,,,,,False,,False,,,,False,False,False,,,
374,estudios,,,,,,False,,False,,,,False,False,False,,,
375,estudios,,,,,,False,,False,,,,False,False,False,,,
376,estudios,,,,,,False,,False,,,,False,False,False,,,
377,estudios,,,,,,False,,False,,,,False,False,False,,,
378,estudios,,,,,,False,,False,,,,False,False,False,,,
379,estudios,,,,,,False,,False,,,,False,False,False,,,
380,estudios,,,,,,False,,False,,,,False,False,False,,,
381,estudios,,,,,,False,,False,,,,False,False,False,,,
382,estudios,,,,,,False,,False,,,,False,False,False,,,
383,estudios,,,,,,False,,False,,,,False,False,False,,,
384,estudios,,,,,,False,,False,,,,False,False,False,,,
385,estudios,,,,,,False,,False,,,,False,False,False,,,
386,estudios,,,,,,False,,False,,,,False,False,False,,,
387,estudios,,,,,,False,,False,,,,False,False,False,,,
388,estudios,,,,,,False,,False,,,,False,False,False,,,
389,estudios,,,,,,False,,False,,,,False,False,False,,,
390,estudios,,,,,,False,,False,,,,False,False,False,,,
391,estudios,,,,,,False,,False,,,,False,False,False,,,
392,estudios,,,,,,False,,False,,,,False,False,False,,,
393,estudios,,,,,,False,,False,,,,False,False,False,,,
394,estudios,,,,,,False,,False,,,,False,False,False,,,
395,estudios,,,,,,False,,False,,,,False,False,False,,,
396,estudios,,,,,,False,,False,,,,False,False,False,,,
397,estudios,,,,,,False,,False,,,,False,False,False,,,
398,estudios,,,,,,False,,False,,,,False,False,False,,,
399,estudios,,,,,,False,,False,,,,False,False,False,,,
400,estudios,,,,,,False,,False,,,,False,False,False,,,
401,estudios,,,,,,False,,False,,,,False,False,False,,,
402,estudios,,,,,,False,,False,,,,False,False,False,,,
403,estudios,,,,,,False,,False,,,,False,False,False,,,
404,estudios,,,,,,False,,False,,,,False,False,False,,,
405,estudios,,,,,,False,,False,,,,False,False,False,,,
406,estudios,,,,,,False,,False,,,,False,False,False,,,
407,estudios,,,,,,False,,False,,,,False,False,False,,,
408,estudios,,,,,,False,,False,,,,False,False,False,,,
409,estudios,,,,,,False,,False,,,,False,False,False,,,
410,estudios,,,,,,False,,False,,,,False,False,False,,,
411,estudios,,,,,,False,,False,,,,False,False,False,,,
412,estudios,,,,,,False,,False,,,,False,False,False,,,
413,estudios,,,,,,False,,False,,,,False,False,False,,,
414,estudios,,,,,,False,,False,,,,False,False,False,,,
415,estudios,,,,,,False,,False,,,,False,False,False,,,
416,estudios,,,,,,False,,False,,,,False,False,False,,,
417,estudios,,,,,,False,,False,,,,False,False,False,,,
418,estudios,,,,,,False,,False,,,,False,False,False,,,
419,estudios,,,,,,False,,False,,,,False,False,False,,,
420,estudios,,,,,,False,,False,,,,False,False,False,,,
421,estudios,,,,,,False,,False,,,,False,False,False,,,
422,estudios,,,,,,False,,False,,,,False,False,False,,,
423,estudios,,,,,,False,,False,,,,False,False,False,,,
424,estudios,,,,,,False,,False,,,,False,False,False,,,
425,estudios,,,,,,False,,False,,,,False,False,False,,,
426,estudios,,,,,,False,,False,,,,False,False,False,,,
427,estudios,,,,,,False,,False,,,,False,False,False,,,
428,estudios,,,,,,False,,False,,,,False,False,False,,,
429,estudios,,,,,,False,,False,,,,False,False,False,,,
430,estudios,,,,,,False,,False,,,,False,False,False,,,
431,estudios,,,,,,False,,False,,,,False,False,False,,,
432,estudios,,,,,,False,,False,,,,False,False,False,,,
433,estudios,,,,,,False,,False,,,,False,False,False,,,
434,estudios,,,,,,False,,False,,,,False,False,False,,,
435,estudios,,,,,,False,,False,,,,False,False,False,,,
436,estudios,,,,,,False,,False,,,,False,False,False,,,
437,estudios,,,,,,False,,False,,,,False,False,False,,,
438,estudios,,,,,,False,,False,,,,False,False,False,,,
439,estudios,,,,,,False,,False,,,,False,False,False,,,
440,estudios,,,,,,False,,False,,,,False,False,False,,,
441,estudios,,,,,,False,,False,,,,False,False,False,,,
442,estudios,,,,,,False,,False,,,,False,False,False,,,
443,estudios,,,,,,False,,False,,,,False,False,False,,,
444,estudios,,,,,,False,,False,,,,False,False,False,,,
445,estudios,,,,,,False,,False,,,,False,False,False,,,
446,estudios,,,,,,False,,False,,,,False,False,False,,,
447,estudios,,,,,,False,,False,,,,False,False,False,,,
448,estudios,,,,,,False,,False,,,,False,False,False,,,
449,estudios,,,,,,False,,False,,,,False,False,False,,,
450,estudios,,,,,,False,,False,,,,False,False,False,,,
451,estudios,,,,,,False,,False,,,,False,False,False,,,
452,estudios,,,,,,False,,False,,,,False,False,False,,,
453,estudios,,,,,,False,,False,,,,False,False,False,,,
454,estudios,,,,,,False,,False,,,,False,False,False,,,
455,estudios,,,,,,False,,False,,,,False,False,False,,,
456,estudios,,,,,,False,,False,,,,False,False,False,,,
457,estudios,,,,,,False,,False,,,,False,False,False,,,
