row_number,module_name,fecha,anio,mes_num,mes_nombre,periodo,registro_valido,estado_fila_norm,row_alert_municipio_missing,row_alert_estado_incompleto,modalidad,tipo_actividad,participantes_totales,n_tecnicos,n_operarios,n_otro_personal,instituciones_participantes,observaciones,municipios,temas,temas_nucleo,has_core_theme
170,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
171,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
172,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
173,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
174,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
175,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
176,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
177,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
178,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
179,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
180,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
181,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
182,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
183,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
184,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
185,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
186,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
187,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
188,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
189,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
190,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
191,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
192,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
193,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
194,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
195,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
196,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
197,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
