program_id,program_name,periodo_clave,mes_num,mes_label,indicator_id,indicador_nombre,unidad,categoria,modelo_medicion,valor_mes,valor_acumulado,meta_mes,meta_anual,esperado_al_corte,pct_meta_anual,pct_vs_esperado,cumplio_mes,meses_cumplidos,meses_transcurridos,aporta_metas_epc,estatus,orden_dashboard,is_latest_data_month
educando_para_conservar,Educando para Conservar,2026-02,2,Febrero,act_limpiezas,Campañas de limpieza escolar,actividades,tactico,annual_cumulative_profiled,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0,0,0,False,gris,18,False
educando_para_conservar,Educando para Conservar,2026-02,2,Febrero,act_proyectos_gestion,Proyectos de gestión ambiental escolar,actividades,tactico,milestone_window,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0,0,0,False,gris,19,False
educando_para_conservar,Educando para Conservar,2026-03,3,Marzo,docentes_capacitados,Docentes capacitados,personas,estrategico,monthly_recurrent,121.0,1.0,121.0,8.0,1.0,0.125,1.0,1,1,1,True,verde,1,False
educando_para_conservar,Educando para Conservar,2026-03,3,Marzo,centros_cobertura,Centros alcanzados,centros,estrategico,monthly_recurrent,50.0,1.0,50.0,8.0,1.0,0.125,1.0,1,1,1,True,verde,2,False
educando_para_conservar,Educando para Conservar,2026-03,3,Marzo,municipios_actividad_pedagogica,Municipios con actividad pedagógica,municipios,estrategico,monthly_recurrent,13.0,1.0,13.0,8.0,1.0,0.125,1.0,1,1,1,True,verde,3,False
educando_para_conservar,Educando para Conservar,2026-03,3,Marzo,estudiantes_epc,Estudiantes EPC,estudiantes,estrategico,monthly_recurrent,3514.0,1.0,3514.0,8.0,1.0,0.125,1.0,1,1,1,True,verde,4,False
educando_para_conservar,Educando para Conservar,2026-03,3,Marzo,actividades_campo,Actividades de campo,actividades,estrategico,annual_cumulative_profiled,10.0,10.0,0.0,128.0,10.24,0.078125,0.9765625,1,0,1,True,amarillo,5,False
educando_para_conservar,Educando para Conservar,2026-03,3,Marzo,estudiantes_actividades_campo,Estudiantes en actividades de campo,estudiantes,estrategico,annual_cumulative_profiled,523.0,523.0,0.0,3514.0,281.12,0.14883323847467272,1.8604154809334092,1,0,1,True,verde,6,False
educando_para_conservar,Educando para Conservar,2026-03,3,Marzo,jovenes_formados_diplomado,Jóvenes formados en diplomado,jóvenes,estrategico,milestone_window,122.0,122.0,0.0,120.0,0.0,1.0166666666666666,0.0,1,0,1,True,gris,7,False
educando_para_conservar,Educando para Conservar,2026-03,3,Marzo,propuestas_juveniles,Propuestas juveniles,propuestas,estrategico,milestone_window,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0,0,1,True,gris,8,False
