record_key,programa,anio,mes_num,mes,zona,territorio,tipo_operacion,mujeres_activas,mujeres_actividades,mujeres_comercializacion,mujeres_comercializacion_no_inscritas,mujeres_inscritas_total,mujeres_nuevas_inscritas,materiales_lideresas_qq,materiales_municipalidad_qq,total_materiales_qq,ingreso_bruto_lideresas,gasto_transporte,pago_coop_lideresas,ingreso_neto_lideresas,ingreso_bruto_municipalidad,pago_coop_municipalidad,ingreso_neto_municipalidad,ingreso_bruto_total,ingreso_neto_total_territorio,ingreso_neto_cooperativa,horas_trabajadas_lideresas,ingreso_diario_lideresa,pet_qq,vidrio_cerveza_gronn_unid,vidrio_vino_gronn_unid,vidrio_cerveza_surusic_unid,vidrio_vino_surusic_unid,vidrio_peso_qq,vidrio_total_qq,ingreso_pet,ingreso_vidrio_peso,ingreso_vidrio_gronn,ingreso_vidrio_surusic
ATITLAN_RECICLA|2026|04|Santa Lucía Utatlán,atitlan_recicla,2026,4,ABR,Tzolojya,Santa Lucía Utatlán,muni,0.0,0.0,0.0,0.0,,,,,0.0,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,,,0.0,0.0
ATITLAN_RECICLA|2026|04|Santa María Visitación,atitlan_recicla,2026,4,ABR,Tzolojya,Santa María Visitación,muni,,,,,,,,,0.0,,,,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,0.0
ATITLAN_RECICLA|2026|04|San Lucas Tolimán,atitlan_recicla,2026,4,ABR,Zona Sur,San Lucas Tolimán,mujeres_y_muni,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,
ATITLAN_RECICLA|2026|04|Santiago Atitlán,atitlan_recicla,2026,4,ABR,Zona Sur,Santiago Atitlán,mujeres_y_muni,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,
ATITLAN_RECICLA|2026|05|San Andrés Semetabaj,atitlan_recicla,2026,5,MAY,Kaqchiquel,San Andrés Semetabaj,mujeres,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,0.0
ATITLAN_RECICLA|2026|05|San Antonio Palopó,atitlan_recicla,2026,5,MAY,Kaqchiquel,San Antonio Palopó,mujeres,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,
ATITLAN_RECICLA|2026|05|Santa Catarina Palopó,atitlan_recicla,2026,5,MAY,Kaqchiquel,Santa Catarina Palopó,mujeres,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,
ATITLAN_RECICLA|2026|05|Sololá,atitlan_recicla,2026,5,MAY,Kaqchiquel,Sololá,mujeres_y_muni,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,
ATITLAN_RECICLA|2026|05|Jaibalito,atitlan_recicla,2026,5,MAY,Las Lagunas,Jaibalito,mujeres,,,,,,,,,0.0,,,,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,
ATITLAN_RECICLA|2026|05|San Juan La Laguna,atitlan_recicla,2026,5,MAY,Las Lagunas,San Juan La Laguna,mujeres,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,
ATITLAN_RECICLA|2026|05|San Marcos La Laguna,atitlan_recicla,2026,5,MAY,Las Lagunas,San Marcos La Laguna,muni,,,,,,,,,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,0.0
ATITLAN_RECICLA|2026|05|Santa Cruz La Laguna,atitlan_recicla,2026,5,MAY,Las Lagunas,Santa Cruz La Laguna,mujeres,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,0.0
ATITLAN_RECICLA|2026|05|Tzununá,atitlan_recicla,2026,5,MAY,Las Lagunas,Tzununá,mujeres,,,,,,,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,
ATITLAN_RECICLA|2026|05|Panajachel,atitlan_recicla,2026,5,MAY,Tzolojya,Panajachel,mujeres,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,
ATITLAN_RECICLA|2026|05|Santa Clara La Laguna,atitlan_recicla,2026,5,MAY,Tzolojya,Santa Clara La Laguna,mujeres,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,
ATITLAN_RECICLA|2026|05|Santa Lucía Utatlán,atitlan_recicla,2026,5,MAY,Tzolojya,Santa Lucía Utatlán,muni,0.0,0.0,0.0,0.0,,,,,0.0,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,,,0.0,0.0
ATITLAN_RECICLA|2026|05|Santa María Visitación,atitlan_recicla,2026,5,MAY,Tzolojya,Santa María Visitación,muni,,,,,,,,,0.0,,,,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,0.0
ATITLAN_RECICLA|2026|05|San Lucas Tolimán,atitlan_recicla,2026,5,MAY,Zona Sur,San Lucas Tolimán,mujeres_y_muni,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,
ATITLAN_RECICLA|2026|05|Santiago Atitlán,atitlan_recicla,2026,5,MAY,Zona Sur,Santiago Atitlán,mujeres_y_muni,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,
ATITLAN_RECICLA|2026|06|San Andrés Semetabaj,atitlan_recicla,2026,6,JUN,Kaqchiquel,San Andrés Semetabaj,mujeres,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,0.0
ATITLAN_RECICLA|2026|06|San Antonio Palopó,atitlan_recicla,2026,6,JUN,Kaqchiquel,San Antonio Palopó,mujeres,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,
ATITLAN_RECICLA|2026|06|Santa Catarina Palopó,atitlan_recicla,2026,6,JUN,Kaqchiquel,Santa Catarina Palopó,mujeres,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,
ATITLAN_RECICLA|2026|06|Sololá,atitlan_recicla,2026,6,JUN,Kaqchiquel,Sololá,mujeres_y_muni,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,
ATITLAN_RECICLA|2026|06|Jaibalito,atitlan_recicla,2026,6,JUN,Las Lagunas,Jaibalito,mujeres,,,,,,,,,0.0,,,,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,
ATITLAN_RECICLA|2026|06|San Juan La Laguna,atitlan_recicla,2026,6,JUN,Las Lagunas,San Juan La Laguna,mujeres,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,
