record_key,programa,anio,mes,recolector,municipio_origen,zona_codigo,material,cantidad,pagado_unit_gtq,precio_vendido_unit_gtq,gtq_total_pagados,ingreso_total_venta,ingreso_cooperativa,source_sheet,source_row,mes_num
Cooperativa Atitlán Recicla|ENE|ZS - Santiago Atitlán|Cartón |78,atitlan_recicla,2026,ENE,Lideresas,ZS - Santiago Atitlán,ZS,Cartón,5.08,10.0,10.0,50.8,50.8,0.0,Compras,78,1
Cooperativa Atitlán Recicla|ENE|ZS - Santiago Atitlán|cartoncillo|79,atitlan_recicla,2026,ENE,Lideresas,ZS - Santiago Atitlán,ZS,cartoncillo,0.1,5.0,5.0,0.5,0.5,0.0,Compras,79,1
Cooperativa Atitlán Recicla|ENE|ZS - Santiago Atitlán|Papel mixto |80,atitlan_recicla,2026,ENE,Lideresas,ZS - Santiago Atitlán,ZS,Papel mixto,0.8,25.0,25.0,20.0,20.0,0.0,Compras,80,1
Cooperativa Atitlán Recicla|ENE|ZS - Santiago Atitlán|Quintal vidrio VER|81,atitlan_recicla,2026,ENE,Lideresas,ZS - Santiago Atitlán,ZS,Quintal vidrio VER,20.0,10.0,10.0,200.0,200.0,0.0,Compras,81,1
Cooperativa Atitlán Recicla|ENE|ZS - Santiago Atitlán|Quintal vidrio mixto|82,atitlan_recicla,2026,ENE,Lideresas,ZS - Santiago Atitlán,ZS,Quintal vidrio mixto,95.0,22.0,22.0,2090.0,2090.0,0.0,Compras,82,1
Cooperativa Atitlán Recicla|ENE|ZS - Santiago Atitlán|Quintal vidrio sucio|83,atitlan_recicla,2026,ENE,Lideresas,ZS - Santiago Atitlán,ZS,Quintal vidrio sucio,25.0,8.0,8.0,200.0,200.0,0.0,Compras,83,1
Cooperativa Atitlán Recicla|ENE|ZS - San Lucas Tolimán|PET transparente|84,atitlan_recicla,2026,ENE,Lideresas,ZS - San Lucas Tolimán,ZS,PET transparente,35.45,50.0,50.0,1772.5000000000002,1772.5000000000002,0.0,Compras,84,1
Cooperativa Atitlán Recicla|ENE|ZS - San Lucas Tolimán|PET celeste|85,atitlan_recicla,2026,ENE,Lideresas,ZS - San Lucas Tolimán,ZS,PET celeste,2.7,20.0,20.0,54.0,54.0,0.0,Compras,85,1
Cooperativa Atitlán Recicla|ENE|ZS - San Lucas Tolimán|PET verde|86,atitlan_recicla,2026,ENE,Lideresas,ZS - San Lucas Tolimán,ZS,PET verde,2.2,15.0,15.0,33.0,33.0,0.0,Compras,86,1
Cooperativa Atitlán Recicla|ENE|ZS - San Lucas Tolimán|Plástico duro (PP)|87,atitlan_recicla,2026,ENE,Lideresas,ZS - San Lucas Tolimán,ZS,Plástico duro (PP),8.18,35.0,40.0,286.3,327.2,40.89999999999998,Compras,87,1
Cooperativa Atitlán Recicla|ENE|ZS - San Lucas Tolimán|Plástico soplado (PEAD)|88,atitlan_recicla,2026,ENE,Lideresas,ZS - San Lucas Tolimán,ZS,Plástico soplado (PEAD),5.8,35.0,40.0,203.0,232.0,29.0,Compras,88,1
Cooperativa Atitlán Recicla|ENE|ZS - San Lucas Tolimán|Chatarra 2da. |89,atitlan_recicla,2026,ENE,Lideresas,ZS - San Lucas Tolimán,ZS,Chatarra 2da.,27.97,20.0,20.0,559.4,559.4,0.0,Compras,89,1
Cooperativa Atitlán Recicla|ENE|ZS - San Lucas Tolimán|Aluminio latas|90,atitlan_recicla,2026,ENE,Lideresas,ZS - San Lucas Tolimán,ZS,Aluminio latas,2.55,370.0,400.0,943.4999999999999,1019.9999999999999,76.5,Compras,90,1
Cooperativa Atitlán Recicla|ENE|ZS - San Lucas Tolimán|Cartón |91,atitlan_recicla,2026,ENE,Lideresas,ZS - San Lucas Tolimán,ZS,Cartón,28.7,10.0,10.0,287.0,287.0,0.0,Compras,91,1
Cooperativa Atitlán Recicla|ENE|ZS - San Lucas Tolimán|Papel mixto |92,atitlan_recicla,2026,ENE,Lideresas,ZS - San Lucas Tolimán,ZS,Papel mixto,7.98,30.0,30.0,239.4,239.4,0.0,Compras,92,1
Cooperativa Atitlán Recicla|ENE|ZS - San Lucas Tolimán|Quintal vidrio mixto|93,atitlan_recicla,2026,ENE,Lideresas,ZS - San Lucas Tolimán,ZS,Quintal vidrio mixto,85.0,23.0,23.0,1955.0,1955.0,0.0,Compras,93,1
Cooperativa Atitlán Recicla|ENE|ZS - San Lucas Tolimán|Quintal vidrio sucio|94,atitlan_recicla,2026,ENE,Lideresas,ZS - San Lucas Tolimán,ZS,Quintal vidrio sucio,53.0,8.0,8.0,424.0,424.0,0.0,Compras,94,1
Cooperativa Atitlán Recicla|ENE|T - Santa Clara la Laguna|PET transparente|95,atitlan_recicla,2026,ENE,Lideresas,T - Santa Clara la Laguna,T,PET transparente,0.5,40.0,40.0,20.0,20.0,0.0,Compras,95,1
Cooperativa Atitlán Recicla|ENE|T - Santa Clara la Laguna|PET celeste|96,atitlan_recicla,2026,ENE,Lideresas,T - Santa Clara la Laguna,T,PET celeste,0.1,20.0,20.0,2.0,2.0,0.0,Compras,96,1
Cooperativa Atitlán Recicla|ENE|T - Santa Clara la Laguna|PET verde|97,atitlan_recicla,2026,ENE,Lideresas,T - Santa Clara la Laguna,T,PET verde,0.1,15.0,15.0,1.5,1.5,0.0,Compras,97,1
Cooperativa Atitlán Recicla|ENE|T - Santa Clara la Laguna|Papel mixto |98,atitlan_recicla,2026,ENE,Lideresas,T - Santa Clara la Laguna,T,Papel mixto,1.5,25.0,25.0,37.5,37.5,0.0,Compras,98,1
Cooperativa Atitlán Recicla|ENE|T - Santa Clara la Laguna|Quintal vidrio TR|99,atitlan_recicla,2026,ENE,Lideresas,T - Santa Clara la Laguna,T,Quintal vidrio TR,51.24,22.0,22.0,1127.28,1127.28,0.0,Compras,99,1
Cooperativa Atitlán Recicla|ENE|T - Panajachel|PET transparente|100,atitlan_recicla,2026,ENE,Lideresas,T - Panajachel,T,PET transparente,45.52,40.0,40.0,1820.8000000000002,1820.8000000000002,0.0,Compras,100,1
Cooperativa Atitlán Recicla|ENE|T - Panajachel|PET celeste|101,atitlan_recicla,2026,ENE,Lideresas,T - Panajachel,T,PET celeste,17.05,20.0,20.0,341.0,341.0,0.0,Compras,101,1
Cooperativa Atitlán Recicla|ENE|T - Panajachel|PET verde|102,atitlan_recicla,2026,ENE,Lideresas,T - Panajachel,T,PET verde,6.0,15.0,15.0,90.0,90.0,0.0,Compras,102,1
Cooperativa Atitlán Recicla|ENE|T - Panajachel|Plástico duro (PP)|103,atitlan_recicla,2026,ENE,Lideresas,T - Panajachel,T,Plástico duro (PP),0.48,40.0,50.0,19.2,24.0,4.800000000000001,Compras,103,1
Cooperativa Atitlán Recicla|ENE|T - Panajachel|Plástico duro (PP)|104,atitlan_recicla,2026,ENE,Lideresas,T - Panajachel,T,Plástico duro (PP),7.0,50.0,50.0,350.0,350.0,0.0,Compras,104,1
Cooperativa Atitlán Recicla|ENE|T - Panajachel|Plástico soplado (PEAD)|105,atitlan_recicla,2026,ENE,Lideresas,T - Panajachel,T,Plástico soplado (PEAD),11.7,40.0,40.0,468.0,468.0,0.0,Compras,105,1
Cooperativa Atitlán Recicla|ENE|T - Panajachel|Cartón |106,atitlan_recicla,2026,ENE,Lideresas,T - Panajachel,T,Cartón,264.87,10.0,10.0,2648.7,2648.7,0.0,Compras,106,1
Cooperativa Atitlán Recicla|ENE|T - Panajachel|Papel mixto |107,atitlan_recicla,2026,ENE,Lideresas,T - Panajachel,T,Papel mixto,77.39,30.0,30.0,2321.7,2321.7,0.0,Compras,107,1
Cooperativa Atitlán Recicla|ENE|T - Panajachel|Quintal vidrio TR|108,atitlan_recicla,2026,ENE,Lideresas,T - Panajachel,T,Quintal vidrio TR,512.43,23.0,23.0,11785.89,11785.89,0.0,Compras,108,1
Cooperativa Atitlán Recicla|ENE|T - Panajachel|Quintal vidrio AM|109,atitlan_recicla,2026,ENE,Lideresas,T - Panajachel,T,Quintal vidrio AM,5.19,23.0,23.0,119.37,119.37,0.0,Compras,109,1
Cooperativa Atitlán Recicla|ENE|T - Panajachel|Quintal vidrio VER|110,atitlan_recicla,2026,ENE,Lideresas,T - Panajachel,T,Quintal vidrio VER,2.41,10.0,10.0,24.1,24.1,0.0,Compras,110,1
Cooperativa Atitlán Recicla|ENE|T - Santa Lucía Utatlán|PET transparente|111,atitlan_recicla,2026,ENE,Municipalidad,T - Santa Lucía Utatlán,T,PET transparente,3.63,35.0,40.0,127.05,145.2,18.14999999999999,Compras,111,1
Cooperativa Atitlán Recicla|ENE|T - Santa Lucía Utatlán|PET verde|112,atitlan_recicla,2026,ENE,Municipalidad,T - Santa Lucía Utatlán,T,PET verde,0.55,15.0,15.0,8.25,8.25,0.0,Compras,112,1
Cooperativa Atitlán Recicla|ENE|T - Santa Lucía Utatlán|PET celeste|113,atitlan_recicla,2026,ENE,Municipalidad,T - Santa Lucía Utatlán,T,PET celeste,0.75,15.0,20.0,11.25,15.0,3.75,Compras,113,1
Cooperativa Atitlán Recicla|ENE|T - Santa Lucía Utatlán|Plástico soplado (PEAD)|114,atitlan_recicla,2026,ENE,Municipalidad,T - Santa Lucía Utatlán,T,Plástico soplado (PEAD),1.2,30.0,35.0,36.0,42.0,6.0,Compras,114,1
Cooperativa Atitlán Recicla|ENE|T - Santa Lucía Utatlán|Cartón |115,atitlan_recicla,2026,ENE,Municipalidad,T - Santa Lucía Utatlán,T,Cartón,4.52,10.0,10.0,45.199999999999996,45.199999999999996,0.0,Compras,115,1
Cooperativa Atitlán Recicla|ENE|T - Santa Lucía Utatlán|Quintal vidrio TR|116,atitlan_recicla,2026,ENE,Municipalidad,T - Santa Lucía Utatlán,T,Quintal vidrio TR,12.34,20.0,22.0,246.8,271.48,24.680000000000007,Compras,116,1
