record_key,programa,anio,mes_num,mes,zona,territorio,tipo_operacion,source_sheet,source_heading_row,source_month_col,mujeres_activas,mujeres_actividades,mujeres_comercializacion,mujeres_comercializacion_no_inscritas,mujeres_inscritas_total,mujeres_nuevas_inscritas,materiales_lideresas_qq,materiales_municipalidad_qq,total_materiales_qq,ingreso_bruto_lideresas,gasto_transporte,pago_coop_lideresas,ingreso_neto_lideresas,ingreso_bruto_municipalidad,pago_coop_municipalidad,ingreso_neto_municipalidad,ingreso_bruto_total,ingreso_neto_total_territorio,ingreso_neto_cooperativa,horas_trabajadas_lideresas,ingreso_diario_lideresa,pet_qq,vidrio_cerveza_gronn_unid,vidrio_vino_gronn_unid,vidrio_cerveza_surusic_unid,vidrio_vino_surusic_unid,vidrio_peso_qq,vidrio_total_qq,ingreso_pet,ingreso_vidrio_peso,ingreso_vidrio_gronn,ingreso_vidrio_surusic,has_any_data
ATITLAN_RECICLA|2026|04|Jaibalito,Cooperativa Atitlán Recicla,2026,4,ABR,Las Lagunas,Jaibalito,mujeres,Datos_Impacto,75,J,,,,,,,,,0,,,,0,,,0,0,0,0,,,,,,,,,0,,,,,True
ATITLAN_RECICLA|2026|05|Jaibalito,Cooperativa Atitlán Recicla,2026,5,MAY,Las Lagunas,Jaibalito,mujeres,Datos_Impacto,75,K,,,,,,,,,0,,,,0,,,0,0,0,0,,,,,,,,,0,,,,,True
ATITLAN_RECICLA|2026|06|Jaibalito,Cooperativa Atitlán Recicla,2026,6,JUN,Las Lagunas,Jaibalito,mujeres,Datos_Impacto,75,L,,,,,,,,,0,,,,0,,,0,0,0,0,,,,,,,,,0,,,,,True
ATITLAN_RECICLA|2026|07|Jaibalito,Cooperativa Atitlán Recicla,2026,7,JUL,Las Lagunas,Jaibalito,mujeres,Datos_Impacto,75,N,,,,,,,,,0,,,,0,,,0,0,0,0,,,,,,,,,0,,,,0,True
ATITLAN_RECICLA|2026|08|Jaibalito,Cooperativa Atitlán Recicla,2026,8,AGO,Las Lagunas,Jaibalito,mujeres,Datos_Impacto,75,O,,,,,,,,,0,,,,0,,,0,0,0,0,,,,,,,,,0,,,,0,True
ATITLAN_RECICLA|2026|09|Jaibalito,Cooperativa Atitlán Recicla,2026,9,SEP,Las Lagunas,Jaibalito,mujeres,Datos_Impacto,75,P,,,,,,,,,0,,,,0,,,0,0,0,0,,,,,,,,,0,,,,0,True
ATITLAN_RECICLA|2026|10|Jaibalito,Cooperativa Atitlán Recicla,2026,10,OCT,Las Lagunas,Jaibalito,mujeres,Datos_Impacto,75,Q,,,,,,,,,0,,,,0,,,0,0,0,0,,,,,,,,,0,,,,,True
ATITLAN_RECICLA|2026|11|Jaibalito,Cooperativa Atitlán Recicla,2026,11,NOV,Las Lagunas,Jaibalito,mujeres,Datos_Impacto,75,R,,,,,,,,,0,,,,0,,,0,0,0,0,,,,,,,,,0,,,,,True
ATITLAN_RECICLA|2026|01|San Juan La Laguna,Cooperativa Atitlán Recicla,2026,1,ENE,Las Lagunas,San Juan La Laguna,mujeres,Datos_Impacto,109,G,3,3,2,0,5,0,78.46,0,78.46,1455.12,0,0,1455.12,0,0,0,1455.12,1455.12,0,101.3,145.512,0.56,0,0,0,0,48.98,48.98,22.4,1018.07,0,0,True
ATITLAN_RECICLA|2026|02|San Juan La Laguna,Cooperativa Atitlán Recicla,2026,2,FEB,Las Lagunas,San Juan La Laguna,mujeres,Datos_Impacto,109,H,3,3,3,0,5,0,79.79,0,79.79,1552.93,0,0,1552.93,0,0,0,1552.93,1552.93,0,90,103.52866666666667,2.4,0,0,0,0,66.26,66.26,79,1287.3,0,0,True
ATITLAN_RECICLA|2026|03|San Juan La Laguna,Cooperativa Atitlán Recicla,2026,3,MAR,Las Lagunas,San Juan La Laguna,mujeres,Datos_Impacto,109,I,,,,,,,,,0,,,,0,0,0,0,0,0,0,,,,,,,,,0,,,,,True
ATITLAN_RECICLA|2026|04|San Juan La Laguna,Cooperativa Atitlán Recicla,2026,4,ABR,Las Lagunas,San Juan La Laguna,mujeres,Datos_Impacto,109,J,,,,,,,,,0,,,,0,0,0,0,0,0,0,,,,,,,,,0,,,,,True
ATITLAN_RECICLA|2026|05|San Juan La Laguna,Cooperativa Atitlán Recicla,2026,5,MAY,Las Lagunas,San Juan La Laguna,mujeres,Datos_Impacto,109,K,,,,,,,,,0,,,,0,0,0,0,0,0,0,,,,,,,,,0,,,,,True
ATITLAN_RECICLA|2026|06|San Juan La Laguna,Cooperativa Atitlán Recicla,2026,6,JUN,Las Lagunas,San Juan La Laguna,mujeres,Datos_Impacto,109,L,,,,,,,,,0,,,,0,0,0,0,0,0,0,,,,,,,,,0,,,,,True
ATITLAN_RECICLA|2026|07|San Juan La Laguna,Cooperativa Atitlán Recicla,2026,7,JUL,Las Lagunas,San Juan La Laguna,mujeres,Datos_Impacto,109,N,,,,,,,,,0,,,,0,0,0,0,0,0,0,,,,,,,,,0,,,,0,True
ATITLAN_RECICLA|2026|08|San Juan La Laguna,Cooperativa Atitlán Recicla,2026,8,AGO,Las Lagunas,San Juan La Laguna,mujeres,Datos_Impacto,109,O,,,,,,,,,0,,,,0,0,0,0,0,0,0,,,,,,,,,0,,,,0,True
ATITLAN_RECICLA|2026|09|San Juan La Laguna,Cooperativa Atitlán Recicla,2026,9,SEP,Las Lagunas,San Juan La Laguna,mujeres,Datos_Impacto,109,P,,,,,,,,,0,,,,0,0,0,0,0,0,0,,,,,,,,,0,,,,0,True
ATITLAN_RECICLA|2026|10|San Juan La Laguna,Cooperativa Atitlán Recicla,2026,10,OCT,Las Lagunas,San Juan La Laguna,mujeres,Datos_Impacto,109,Q,,,,,,,,,0,,,,0,0,0,0,0,0,0,,,,,,,,,0,,,,0,True
ATITLAN_RECICLA|2026|11|San Juan La Laguna,Cooperativa Atitlán Recicla,2026,11,NOV,Las Lagunas,San Juan La Laguna,mujeres,Datos_Impacto,109,R,,,,,,,,,0,,,,0,0,0,0,0,0,0,,,,,,,,,0,,,,,True
ATITLAN_RECICLA|2026|01|Santa Cruz La Laguna,Cooperativa Atitlán Recicla,2026,1,ENE,Las Lagunas,Santa Cruz La Laguna,mujeres,Datos_Impacto,143,G,3,3,3,0,5,0,37.3,0,37.3,636.21,0,0,636.21,0,0,0,636.21,636.21,0,125.1,42.414,1.02,0,0,0,0,30.62,30.62,33.6,536.96,0,0,True
ATITLAN_RECICLA|2026|02|Santa Cruz La Laguna,Cooperativa Atitlán Recicla,2026,2,FEB,Las Lagunas,Santa Cruz La Laguna,mujeres,Datos_Impacto,143,H,3,3,3,0,5,0,44.62,0,44.62,1028.86,0,0,1028.86,0,0,0,1028.86,1028.86,0,126.9,68.59066666666666,1.6,0,0,0,0,37.45,37.45,50.35,698.26,0,0,True
ATITLAN_RECICLA|2026|03|Santa Cruz La Laguna,Cooperativa Atitlán Recicla,2026,3,MAR,Las Lagunas,Santa Cruz La Laguna,mujeres,Datos_Impacto,143,I,,,,,,,,,0,,,,0,0,0,0,0,0,0,,,,,,,,,0,,,,0,True
ATITLAN_RECICLA|2026|04|Santa Cruz La Laguna,Cooperativa Atitlán Recicla,2026,4,ABR,Las Lagunas,Santa Cruz La Laguna,mujeres,Datos_Impacto,143,J,,,,,,,,,0,,,,0,0,0,0,0,0,0,,,,,,,,,0,,,,0,True
ATITLAN_RECICLA|2026|05|Santa Cruz La Laguna,Cooperativa Atitlán Recicla,2026,5,MAY,Las Lagunas,Santa Cruz La Laguna,mujeres,Datos_Impacto,143,K,,,,,,,,,0,,,,0,0,0,0,0,0,0,,,,,,,,,0,,,,0,True
